Code,Name,Market,Close,Change,Volume,Amount,UpdatedAt
139480,이마트,KOSPI,90200,0.11,105299,9520095900,2026-04-04 21:27
009420,한올바이오파마,KOSPI,47050,-13.51,1787424,84573910650,2026-04-04 21:27
001430,세아베스틸지주,KOSPI,67300,3.86,109387,7401793250,2026-04-04 21:27
257720,실리콘투,KOSDAQ,39300,0.38,424030,16645436450,2026-04-04 21:27
279570,케이뱅크,KOSPI,5880,1.55,2033059,11863627895,2026-04-04 21:27
068760,셀트리온제약,KOSDAQ,54500,-1.09,49627,2732413900,2026-04-04 21:27
064760,티씨케이,KOSDAQ,212500,-1.39,81701,17220494750,2026-04-04 21:27
003690,코리안리,KOSPI,12180,-0.16,112906,1379916755,2026-04-04 21:27
018670,SK가스,KOSPI,256000,-0.78,41829,10716307750,2026-04-04 21:27
005290,동진쎄미켐,KOSDAQ,46000,-0.43,390752,17943263825,2026-04-04 21:27
218410,RFHIC,KOSDAQ,89000,3.01,756106,68621510050,2026-04-04 21:27
000120,CJ대한통운,KOSPI,103300,0.29,28643,2980232950,2026-04-04 21:27
058610,에스피지,KOSDAQ,105800,-1.86,167573,18018921150,2026-04-04 21:27
383220,F&F,KOSPI,61100,0.83,41247,2524439350,2026-04-04 21:27
017960,한국카본,KOSPI,45000,13.64,1073410,47844856550,2026-04-04 21:27
006360,GS건설,KOSPI,27250,4.01,2354416,65376364325,2026-04-04 21:27
475150,SK이터닉스,KOSPI,68200,24.0,11359132,734717765750,2026-04-04 21:27
282330,BGF리테일,KOSPI,133900,-0.67,33184,4427077750,2026-04-04 21:27
004800,효성,KOSPI,138000,5.18,30632,4178620350,2026-04-04 21:27
204320,HL만도,KOSPI,48350,1.15,189912,9206401400,2026-04-04 21:27
347700,스피어,KOSDAQ,45500,-1.52,944305,44432642275,2026-04-04 21:27
120110,코오롱인더,KOSPI,81400,2.65,301069,24944087200,2026-04-04 21:27
376900,로킷헬스케어,KOSDAQ,142000,3.95,282068,38718027900,2026-04-04 21:27
004370,농심,KOSPI,367000,0.0,13756,5071587500,2026-04-04 21:27
030000,제일기획,KOSPI,19190,2.79,329316,6309498260,2026-04-04 21:27
000240,한국앤컴퍼니,KOSPI,23200,-1.07,129140,3018008050,2026-04-04 21:27
319660,피에스케이,KOSDAQ,76000,-6.4,521798,39918683650,2026-04-04 21:27
097230,HJ중공업,KOSPI,24350,7.51,1343994,32078168100,2026-04-04 21:27
